iter	RMSE
0	0.3615589557
1	0.3351089256
2	0.3116705768
3	0.290213181
4	0.272061016
5	0.2560256693
6	0.2421399405
7	0.2293064435
8	0.2185317014
9	0.2089899031
10	0.2004772021
11	0.1934133669
12	0.1870756723
13	0.1816401735
14	0.1769368407
15	0.1732109887
16	0.1699643211
17	0.1672193741
18	0.1647925453
19	0.1628028002
20	0.1612025347
21	0.1596082058
22	0.1582957406
23	0.1570786676
24	0.1562573603
25	0.1555394865
26	0.1548220395
27	0.1541421109
28	0.153644868
29	0.1530669294
30	0.1526423503
31	0.1521316385
32	0.1516128633
33	0.1512366857
34	0.150993083
35	0.1506109649
36	0.1502591712
37	0.149986273
38	0.1497090174
39	0.1493497075
40	0.1489759185
41	0.1485786692
42	0.1483223665
43	0.1481467974
44	0.1480176065
45	0.1478606801
46	0.1477626914
47	0.1476444403
48	0.1474627696
49	0.1473191842
50	0.1473110122
51	0.1470416182
52	0.1468219212
53	0.1467689319
54	0.1465476506
55	0.1463098057
56	0.1461608702
57	0.1459168392
58	0.1457793518
59	0.1456880632
60	0.1456063202
61	0.1453881724
62	0.1452863335
63	0.1452049003
64	0.1451261578
65	0.144839092
66	0.1447663754
67	0.1445067941
68	0.1444218241
69	0.144331198
70	0.1443199017
71	0.1443105842
72	0.1440967965
73	0.1440154479
74	0.143842495
75	0.1438012149
76	0.1437158911
77	0.1436884417
78	0.1435776063
79	0.1435341383
80	0.1433581857
81	0.1433070132
82	0.1432241359
83	0.143156064
84	0.1431118649
85	0.1429085007
86	0.1426899974
87	0.14265998
88	0.1425046521
89	0.1423533863
90	0.1422070883
91	0.142123174
92	0.141991024
93	0.1418520174
94	0.141844114
95	0.1417841084
96	0.1417523715
97	0.1417372844
98	0.1417012634
99	0.1416916096
100	0.1416775349
101	0.1416195411
102	0.141602065
103	0.1414985688
104	0.1414174749
105	0.1412761121
106	0.1412648326
107	0.1412563608
108	0.1410822741
109	0.1410629496
110	0.1410478566
111	0.1410377071
112	0.1410147392
113	0.1408739998
114	0.1408212623
115	0.1407123066
116	0.1405877966
117	0.140515957
118	0.1404078711
119	0.1402371204
120	0.1400828299
121	0.1400124336
122	0.1399275904
123	0.1398684899
124	0.1396646316
125	0.1395070355
126	0.1393444565
127	0.1391926397
128	0.1391789326
129	0.1390635598
130	0.138889555
131	0.1387987313
132	0.138752397
133	0.1387441928
134	0.1385976663
135	0.1385513555
136	0.1384746322
137	0.1383870619
138	0.1381992814
139	0.1381045931
140	0.137973782
141	0.1379084341
142	0.1377645472
143	0.1376616185
144	0.1376221388
145	0.1375549274
146	0.1374265757
147	0.1373537127
148	0.137344766
149	0.1372492569
150	0.1370387553
151	0.1370293051
152	0.1368787894
153	0.1367475466
154	0.1366203231
155	0.1366016057
156	0.1365137002
157	0.1364992381
158	0.1364190578
159	0.1363140199
160	0.1362621665
161	0.1361090506
162	0.1360752237
163	0.1359456968
164	0.1358654296
165	0.1357752567
166	0.1357145767
167	0.1356050016
168	0.1355158901
169	0.1354370766
170	0.1353280442
171	0.1351759822
