iter	Passed	Remaining
0	15	15876
1	30	15008
2	46	15481
3	62	15637
4	79	15768
5	95	15823
6	113	16033
7	131	16263
8	149	16514
9	167	16543
10	184	16550
11	200	16482
12	215	16353
13	232	16372
14	249	16373
15	266	16369
16	282	16356
17	299	16340
18	316	16333
19	332	16310
20	349	16301
21	367	16324
22	384	16319
23	400	16295
24	417	16266
25	434	16268
26	451	16254
27	468	16246
28	485	16240
29	501	16229
30	518	16215
31	534	16166
32	551	16168
33	568	16138
34	584	16110
35	600	16081
36	617	16069
37	633	16043
38	650	16024
39	666	15998
40	683	15978
41	699	15959
42	716	15947
43	733	15939
44	750	15922
45	766	15904
46	788	15979
47	804	15962
48	821	15946
49	838	15923
50	844	15708
51	860	15690
52	876	15667
53	894	15666
54	911	15661
55	928	15657
56	945	15640
57	966	15695
58	990	15792
59	1007	15779
60	1024	15777
61	1045	15819
62	1061	15782
63	1077	15761
64	1097	15786
65	1114	15775
66	1131	15756
67	1148	15742
68	1164	15714
69	1180	15688
70	1192	15600
71	1198	15447
72	1214	15416
73	1231	15412
74	1249	15411
75	1270	15444
76	1287	15435
77	1304	15420
78	1321	15401
79	1336	15373
80	1353	15355
81	1369	15335
82	1385	15309
83	1402	15289
84	1418	15269
85	1435	15258
86	1451	15236
87	1468	15215
88	1484	15194
89	1500	15167
90	1517	15153
91	1533	15131
92	1550	15117
93	1565	15092
94	1574	15001
95	1591	14984
96	1607	14967
97	1623	14944
98	1640	14930
99	1654	14889
100	1670	14865
101	1686	14845
102	1701	14821
103	1718	14804
104	1734	14783
105	1750	14765
106	1766	14744
107	1776	14675
108	1792	14652
109	1809	14637
110	1826	14630
111	1843	14614
112	1857	14582
113	1875	14576
114	1893	14573
115	1913	14583
116	1935	14607
117	1954	14607
118	1974	14619
119	1992	14612
120	2011	14609
121	2028	14599
122	2045	14587
123	2065	14592
124	2086	14604
125	2123	14730
126	2163	14868
127	2185	14886
128	2203	14876
129	2221	14868
130	2239	14858
131	2257	14843
132	2274	14826
133	2292	14813
134	2310	14805
135	2327	14787
136	2345	14775
137	2363	14763
138	2382	14760
139	2401	14754
140	2420	14745
141	2438	14733
142	2456	14723
143	2473	14705
144	2492	14695
145	2510	14682
146	2529	14677
147	2546	14660
148	2563	14639
149	2580	14625
150	2599	14615
151	2617	14604
152	2634	14585
153	2652	14569
154	2668	14547
155	2685	14527
156	2702	14508
157	2718	14486
158	2734	14464
159	2752	14450
160	2768	14428
161	2800	14488
162	2820	14482
163	2839	14475
164	2857	14462
165	2875	14446
166	2892	14429
167	2909	14410
168	2925	14385
169	2942	14365
170	2960	14350
171	2978	14336
